Bloco,Max Δ Custo %,Max Δ Duração %,Max Δ CO₂ %
A - Ridge alpha,0.0006560692978735914,0.009379089529174598,0.0009358840156838939
B - Ensemble n_estimators,0.2755927757490303,0.018422701292277893,4.955856488686561
C - Pearson threshold,0.06948927515535666,0.06556041167679875,3.783589586737334
