Configuração,RMSE Custo (USD),RMSE Duração (min),RMSE CO₂ (kg)
n_est=50,39.11458380438219,14.009685410382671,100.70514430089476
default (Fase 3b),39.17,14.01,95.95
n_est=200,39.2779496902609,14.007418979548952,91.66898968028028
