Bloco,Configuração,RMSE Custo,Δ Custo %,RMSE Duração,Δ Duração %,RMSE CO₂,Δ CO₂ %
A - Ridge alpha,alpha=0.1,39.169743017656025,-0.0006560692978735914,14.008685989556962,-0.009379089529174598,95.94910201928695,-0.0009358840156838939
A - Ridge alpha,default (Fase 3b),39.17,0.0,14.01,0.0,95.95,0.0
A - Ridge alpha,alpha=10.0,39.16992583012355,-0.00018935378210005918,14.00872987500594,-0.009065845782008777,95.9491107852579,-0.0009267480376260969
B - Ensemble n_estimators,n_est=50,39.11458380438219,-0.14147611850346997,14.009685410382671,-0.0022454647917820444,100.70514430089476,4.955856488686561
B - Ensemble n_estimators,default (Fase 3b),39.17,0.0,14.01,0.0,95.95,0.0
B - Ensemble n_estimators,n_est=200,39.2779496902609,0.2755927757490303,14.007418979548952,-0.018422701292277893,91.66898968028028,-4.461709556768866
C - Pearson threshold,pearson=0.01,39.197218949078355,0.06948927515535666,14.00081498632408,-0.06556041167679875,99.58035420847447,3.783589586737334
C - Pearson threshold,default (Fase 3b),39.17,0.0,14.01,0.0,95.95,0.0
C - Pearson threshold,pearson=0.05,39.170823706213795,0.002102900724517959,14.017343019103905,0.05241269881445239,95.95910451682192,0.009488813780011504
